INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,824 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\connection.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\tokenize.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\log.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\urls\converters.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\DLLs\_zoneinfo.pyd first seen with mtime 1718723671.1773508
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1699555230.6195908
DEBUG 2024-08-01 23:57:15,825 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\concurrent\futures\_base.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,828 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1699555230.6195908
DEBUG 2024-08-01 23:57:15,830 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\gettext.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,830 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\asgiref\sync.py first seen with mtime 1699497471.2436514
DEBUG 2024-08-01 23:57:15,831 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\_encoded_words.py first seen with mtime 1717698404.0
